1951,,"George Otto Gey propagates first cancer cell line, HeLa",
1952,,Pacemaker,Rune Elmqvist
1952,,Pacemaker,Rune Elmqvist
1952,,Pacemaker,Dr. Paul Zoll
1952,,Jonas Salk: developed and tested first polio vaccine,
1952,,Stanley Miller: demonstrated that the building blocks of life could arise from primeval soup in the conditions present during early Earth (Miller-Urey experiment),
1952,,Frederick Sanger: demonstrated that proteins are sequences of amino acids,
1953,,DNA,James Watson and Francis Crick
1953,,The structure of DNA,James Watson and Francis Crick
1953,,DNA,James Watson and Francis Crick
1953,,The structure of DNA,James Watson and Francis Crick
1953,,"James Watson, Francis Crick, Maurice Wilkins and Rosalind Franklin: helical structure of DNA, basis for molecular biology",
1955,,Hovercraft,ChristopherCockerell
1955,,Polio Vaccine,Jonas Edward Salk
1955,,Polio Vaccine,Jonas Edward Salk
1956,,Artificial intelligence,"John McCarthy, Marvin Minsky, Allen Newell and Herbert A. Simon"
1956,,Artificial intelligence,"John McCarthy, Marvin Minsky, Allen Newell and Herbert A. Simon"
1957,,"Chien Shiung Wu: demonstrated that parity, and thus charge conjugation and time-reversals, are violated for weak interactions",
1958,,OpticalDisc,DavidPaulGregg
1959,,Hovercraft,Christopher Cockerell
1959,,Hovercraft,Christopher Cockerell
1959,,Hovercraft,Christopher Cockerell
1960,,Laser,Theodore H. Maiman
1960,,Laser(ruby),TheodoreMaiman
1960,,Laser,Theodore Maiman
1960,,Laser,Theodore Maiman
1960,,Laser,Dr. Charles H. Townes
1960,,Laser,Theodore H. Maiman
1961,,Soft Contact lenses,Otto Wichterle
1962,,"Riccardo Giacconi and his team discover the first cosmic x-ray source, Scorpius X-1",
1963,,First Supermassive Black Hole,Maarten Schmidt
1963,,First Supermassive Black Hole,Maarten Schmidt
1963,,"Lawrence Morley, Fred Vine, and Drummond Matthews:  Paleomagnetic stripes in ocean crust as evidence of plate tectonics (Vine–Matthews–Morley hypothesis).",
1964,,Synthesizer,Dr. Robert Arthur Moog
1964,,"Murray Gell-Mann and George Zweig: postulates quarks, leading to the standard model",
1964,,Arno Penzias and Robert Woodrow Wilson: detection of CMBR providing experimental evidence for the Big Bang,
1965,,Cosmic Microwave Background Radiation,Arno Penzias and Robert Wilson
1965,,AstroTurf,J.Faria&R.Wright
1965,,CompactDisk,JamesRussell
1965,,Holography,D.Gabor
1965,,Cosmic Microwave Background Radiation,Arno Penzias and Robert Wilson
1965,,Leonard Hayflick: normal cells divide only a certain number of times: the Hayflick limit,
1967,,Jocelyn Bell Burnell and Antony Hewish discover first pulsar,
1967,,Vela nuclear test detection satellites discover the first gamma-ray burst,
1968,,Virtual reality,Ivan Sutherland
1968,,Virtual reality,Ivan Sutherland
1970,,"James H. Ellis proposed the possibility of ""non-secret encryption"", more commonly termed public-key cryptography, a concept that would be implemented by his GCHQ colleague Clifford Cocks in 1973, in what would become known as the RSA algorithm, with key exchange added by a third colleague Malcolm J. Williamson, in 1975.",
1971,,Place cells in the brain are discovered by John O'Keefe,
1972,,Genetic engineering,Paul Berg
1972,,Genetic engineering,Paul Berg
1973,,Mobile phones,Martin Cooper
1973,,Mobile phones,Martin Cooper
1974,,"Russell Alan Hulse and Joseph Hooton Taylor, Jr. discover indirect evidence for gravitational wave radiation in the Hulse–Taylor binary",
1977,,MRI,Raymond Damadian
1977,,MRI,Raymond Damadian
1977,,Frederick Sanger sequences the first DNA genome of an organism using Sanger sequencing,
1978,,GPS,"Roger L. Easton, Ivan A. Getting and Bradford Parkinson"
1978,,GPS,"Roger L. Easton, Ivan A. Getting and Bradford Parkinson"
1980,,Klaus von Klitzing discovered the quantum Hall effect,
1982,,Artificial heart,Robert Jarvik
1982,,Artificial heart,Robert Jarvik
1982,,Donald C. Backer et al. discover the first millisecond pulsar,
1983,,"Kary Mullis invents the polymerase chain reaction, a key discovery in molecular biology",
1985,,Ozone Hole,"Joe Farman, Brian Gardiner, and Jonathan Shanklin"
1985,,Ozone Hole,"Joe Farman, Brian Gardiner, and Jonathan Shanklin"
1986,,Karl Müller and Johannes Bednorz: Discovery of High-temperature superconductivity,
1988,,Bart van Wees [nl] and colleagues at TU Delft and Philips Research discovered the quantized conductance in a two-dimensional electron gas.,
1989,,World Wide Web,Tim Berners Lee with Robert Cailliau
1990,,Mary-Claire King discovers the link between heritable breast cancers and a gene found on chromosome 17q21.[128][129],
1992,,Exoplanets,Aleksander Wolszczan and Dale Frail
1992,,Exoplanets,Aleksander Wolszczan and Dale Frail
1992,,Aleksander Wolszczan and Dale Frail observe the first pulsar planets (this was the first confirmed discovery of planets outside the Solar System),
1994,,Andrew Wiles proves Fermat's Last Theorem,
1995,,Michel Mayor and Didier Queloz definitively observe the first extrasolar planet around a main sequence star,
1995,,"Eric Cornell, Carl Wieman and Wolfgang Ketterle attained the first Bose-Einstein Condensate with atomic gases, so called fifth state of matter at an extremely low temperature.",
